TS;Test;Model;Target Freq;Target mW;Target dBm;Info;mW;dBm;dif_mW;dif_dBm
1622896873000000000;20210605_1622896857;Eachine_TX805;5865;25,0;13,98;VTX im Copter Verbaut, manuelle Pwr-Einstellung;0,0;0,0;-25,0;-13,98
1622896873000000000;20210605_1622896857;Eachine_TX805;5865;25,0;13,98;VTX im Copter Verbaut, manuelle Pwr-Einstellung;0,0;0,0;-25,0;-13,98
1622896873000000000;20210605_1622896857;Eachine_TX805;5865;25,0;13,98;VTX im Copter Verbaut, manuelle Pwr-Einstellung;0,0;0,0;-25,0;-13,98
1622896873000000000;20210605_1622896857;Eachine_TX805;5865;25,0;13,98;VTX im Copter Verbaut, manuelle Pwr-Einstellung;0,0;0,0;-25,0;-13,98
1622896874000000000;20210605_1622896857;Eachine_TX805;5865;25,0;13,98;VTX im Copter Verbaut, manuelle Pwr-Einstellung;0,0;0,0;-25,0;-13,98
1622896874000000000;20210605_1622896857;Eachine_TX805;5865;25,0;13,98;VTX im Copter Verbaut, manuelle Pwr-Einstellung;0,0;0,0;-25,0;-13,98
1622896874000000000;20210605_1622896857;Eachine_TX805;5865;25,0;13,98;VTX im Copter Verbaut, manuelle Pwr-Einstellung;0,0;0,0;-25,0;-13,98
1622896875000000000;20210605_1622896857;Eachine_TX805;5865;25,0;13,98;VTX im Copter Verbaut, manuelle Pwr-Einstellung;0,0;0,0;-25,0;-13,98
1622896878000000000;20210605_1622896857;Eachine_TX805;5865;200,0;23,01;VTX im Copter Verbaut, manuelle Pwr-Einstellung;0,0;0,0;-200,0;-23,01
1622896878000000000;20210605_1622896857;Eachine_TX805;5865;200,0;23,01;VTX im Copter Verbaut, manuelle Pwr-Einstellung;0,0;0,0;-200,0;-23,01
1622896879000000000;20210605_1622896857;Eachine_TX805;5865;200,0;23,01;VTX im Copter Verbaut, manuelle Pwr-Einstellung;0,0;0,0;-200,0;-23,01
1622896879000000000;20210605_1622896857;Eachine_TX805;5865;200,0;23,01;VTX im Copter Verbaut, manuelle Pwr-Einstellung;0,0;0,0;-200,0;-23,01
1622896879000000000;20210605_1622896857;Eachine_TX805;5865;200,0;23,01;VTX im Copter Verbaut, manuelle Pwr-Einstellung;0,0;0,0;-200,0;-23,01
1622896880000000000;20210605_1622896857;Eachine_TX805;5865;200,0;23,01;VTX im Copter Verbaut, manuelle Pwr-Einstellung;0,0;0,0;-200,0;-23,01
1622896880000000000;20210605_1622896857;Eachine_TX805;5865;200,0;23,01;VTX im Copter Verbaut, manuelle Pwr-Einstellung;0,0;0,0;-200,0;-23,01
1622896880000000000;20210605_1622896857;Eachine_TX805;5865;200,0;23,01;VTX im Copter Verbaut, manuelle Pwr-Einstellung;0,0;0,0;-200,0;-23,01
1622896880000000000;20210605_1622896857;Eachine_TX805;5865;200,0;23,01;VTX im Copter Verbaut, manuelle Pwr-Einstellung;0,0;0,0;-200,0;-23,01
1622896881000000000;20210605_1622896857;Eachine_TX805;5865;200,0;23,01;VTX im Copter Verbaut, manuelle Pwr-Einstellung;0,0;0,0;-200,0;-23,01
1622896881000000000;20210605_1622896857;Eachine_TX805;5865;200,0;23,01;VTX im Copter Verbaut, manuelle Pwr-Einstellung;0,0;0,0;-200,0;-23,01
1622896881000000000;20210605_1622896857;Eachine_TX805;5865;200,0;23,01;VTX im Copter Verbaut, manuelle Pwr-Einstellung;0,0;0,0;-200,0;-23,01
1622896882000000000;20210605_1622896857;Eachine_TX805;5865;200,0;23,01;VTX im Copter Verbaut, manuelle Pwr-Einstellung;0,0;0,0;-200,0;-23,01
1622896882000000000;20210605_1622896857;Eachine_TX805;5865;200,0;23,01;VTX im Copter Verbaut, manuelle Pwr-Einstellung;0,0;0,0;-200,0;-23,01
1622896882000000000;20210605_1622896857;Eachine_TX805;5865;200,0;23,01;VTX im Copter Verbaut, manuelle Pwr-Einstellung;0,0;0,0;-200,0;-23,01
1622896883000000000;20210605_1622896857;Eachine_TX805;5865;200,0;23,01;VTX im Copter Verbaut, manuelle Pwr-Einstellung;0,0;0,0;-200,0;-23,01
1622896883000000000;20210605_1622896857;Eachine_TX805;5865;200,0;23,01;VTX im Copter Verbaut, manuelle Pwr-Einstellung;0,0;0,0;-200,0;-23,01
1622896883000000000;20210605_1622896857;Eachine_TX805;5865;200,0;23,01;VTX im Copter Verbaut, manuelle Pwr-Einstellung;0,0;0,0;-200,0;-23,01
1622896884000000000;20210605_1622896857;Eachine_TX805;5865;200,0;23,01;VTX im Copter Verbaut, manuelle Pwr-Einstellung;0,0;0,0;-200,0;-23,01
1622896884000000000;20210605_1622896857;Eachine_TX805;5865;200,0;23,01;VTX im Copter Verbaut, manuelle Pwr-Einstellung;0,0;0,0;-200,0;-23,01
1622896884000000000;20210605_1622896857;Eachine_TX805;5865;200,0;23,01;VTX im Copter Verbaut, manuelle Pwr-Einstellung;0,0;0,0;-200,0;-23,01
1622896884000000000;20210605_1622896857;Eachine_TX805;5865;200,0;23,01;VTX im Copter Verbaut, manuelle Pwr-Einstellung;0,0;0,0;-200,0;-23,01
1622896885000000000;20210605_1622896857;Eachine_TX805;5865;200,0;23,01;VTX im Copter Verbaut, manuelle Pwr-Einstellung;0,0;0,0;-200,0;-23,01
1622896885000000000;20210605_1622896857;Eachine_TX805;5865;200,0;23,01;VTX im Copter Verbaut, manuelle Pwr-Einstellung;0,0;0,0;-200,0;-23,01
1622896885000000000;20210605_1622896857;Eachine_TX805;5865;200,0;23,01;VTX im Copter Verbaut, manuelle Pwr-Einstellung;0,0;0,0;-200,0;-23,01
1622896886000000000;20210605_1622896857;Eachine_TX805;5865;200,0;23,01;VTX im Copter Verbaut, manuelle Pwr-Einstellung;0,0;0,0;-200,0;-23,01
1622896886000000000;20210605_1622896857;Eachine_TX805;5865;200,0;23,01;VTX im Copter Verbaut, manuelle Pwr-Einstellung;0,0;0,0;-200,0;-23,01
1622896886000000000;20210605_1622896857;Eachine_TX805;5865;200,0;23,01;VTX im Copter Verbaut, manuelle Pwr-Einstellung;0,0;0,0;-200,0;-23,01
1622896887000000000;20210605_1622896857;Eachine_TX805;5865;200,0;23,01;VTX im Copter Verbaut, manuelle Pwr-Einstellung;0,0;0,0;-200,0;-23,01
1622896887000000000;20210605_1622896857;Eachine_TX805;5865;200,0;23,01;VTX im Copter Verbaut, manuelle Pwr-Einstellung;0,0;0,0;-200,0;-23,01
1622896887000000000;20210605_1622896857;Eachine_TX805;5865;200,0;23,01;VTX im Copter Verbaut, manuelle Pwr-Einstellung;0,0;0,0;-200,0;-23,01
1622896888000000000;20210605_1622896857;Eachine_TX805;5865;200,0;23,01;VTX im Copter Verbaut, manuelle Pwr-Einstellung;0,0;0,0;-200,0;-23,01
1622896888000000000;20210605_1622896857;Eachine_TX805;5865;200,0;23,01;VTX im Copter Verbaut, manuelle Pwr-Einstellung;0,0;0,0;-200,0;-23,01
1622896893000000000;20210605_1622896857;Eachine_TX805;5845;25,0;13,98;VTX im Copter Verbaut, manuelle Pwr-Einstellung;0,0;0,0;-25,0;-13,98
1622896893000000000;20210605_1622896857;Eachine_TX805;5845;25,0;13,98;VTX im Copter Verbaut, manuelle Pwr-Einstellung;0,0;0,0;-25,0;-13,98
1622896894000000000;20210605_1622896857;Eachine_TX805;5845;25,0;13,98;VTX im Copter Verbaut, manuelle Pwr-Einstellung;0,0;0,0;-25,0;-13,98
1622896894000000000;20210605_1622896857;Eachine_TX805;5845;25,0;13,98;VTX im Copter Verbaut, manuelle Pwr-Einstellung;0,0;0,0;-25,0;-13,98
1622896894000000000;20210605_1622896857;Eachine_TX805;5845;25,0;13,98;VTX im Copter Verbaut, manuelle Pwr-Einstellung;0,0;0,0;-25,0;-13,98
1622896895000000000;20210605_1622896857;Eachine_TX805;5845;25,0;13,98;VTX im Copter Verbaut, manuelle Pwr-Einstellung;0,0;0,0;-25,0;-13,98
1622896895000000000;20210605_1622896857;Eachine_TX805;5845;25,0;13,98;VTX im Copter Verbaut, manuelle Pwr-Einstellung;0,0;0,0;-25,0;-13,98
1622896895000000000;20210605_1622896857;Eachine_TX805;5845;25,0;13,98;VTX im Copter Verbaut, manuelle Pwr-Einstellung;0,0;0,0;-25,0;-13,98
1622896896000000000;20210605_1622896857;Eachine_TX805;5845;25,0;13,98;VTX im Copter Verbaut, manuelle Pwr-Einstellung;0,0;0,0;-25,0;-13,98
1622896896000000000;20210605_1622896857;Eachine_TX805;5845;25,0;13,98;VTX im Copter Verbaut, manuelle Pwr-Einstellung;0,0;0,0;-25,0;-13,98
1622896896000000000;20210605_1622896857;Eachine_TX805;5845;25,0;13,98;VTX im Copter Verbaut, manuelle Pwr-Einstellung;0,0;0,0;-25,0;-13,98
1622896897000000000;20210605_1622896857;Eachine_TX805;5845;25,0;13,98;VTX im Copter Verbaut, manuelle Pwr-Einstellung;0,0;0,0;-25,0;-13,98
1622896897000000000;20210605_1622896857;Eachine_TX805;5845;25,0;13,98;VTX im Copter Verbaut, manuelle Pwr-Einstellung;0,0;0,0;-25,0;-13,98
1622896897000000000;20210605_1622896857;Eachine_TX805;5845;25,0;13,98;VTX im Copter Verbaut, manuelle Pwr-Einstellung;0,0;0,0;-25,0;-13,98
1622896897000000000;20210605_1622896857;Eachine_TX805;5845;25,0;13,98;VTX im Copter Verbaut, manuelle Pwr-Einstellung;0,0;0,0;-25,0;-13,98
1622896898000000000;20210605_1622896857;Eachine_TX805;5845;25,0;13,98;VTX im Copter Verbaut, manuelle Pwr-Einstellung;0,0;0,0;-25,0;-13,98
1622896898000000000;20210605_1622896857;Eachine_TX805;5845;25,0;13,98;VTX im Copter Verbaut, manuelle Pwr-Einstellung;0,0;0,0;-25,0;-13,98
1622896898000000000;20210605_1622896857;Eachine_TX805;5845;25,0;13,98;VTX im Copter Verbaut, manuelle Pwr-Einstellung;0,0;0,0;-25,0;-13,98
1622896899000000000;20210605_1622896857;Eachine_TX805;5845;25,0;13,98;VTX im Copter Verbaut, manuelle Pwr-Einstellung;0,0;0,0;-25,0;-13,98
1622896899000000000;20210605_1622896857;Eachine_TX805;5845;25,0;13,98;VTX im Copter Verbaut, manuelle Pwr-Einstellung;0,0;0,0;-25,0;-13,98
1622896899000000000;20210605_1622896857;Eachine_TX805;5845;25,0;13,98;VTX im Copter Verbaut, manuelle Pwr-Einstellung;0,0;0,0;-25,0;-13,98
1622896900000000000;20210605_1622896857;Eachine_TX805;5845;25,0;13,98;VTX im Copter Verbaut, manuelle Pwr-Einstellung;0,0;0,0;-25,0;-13,98
1622896900000000000;20210605_1622896857;Eachine_TX805;5845;25,0;13,98;VTX im Copter Verbaut, manuelle Pwr-Einstellung;0,0;0,0;-25,0;-13,98
1622896900000000000;20210605_1622896857;Eachine_TX805;5845;25,0;13,98;VTX im Copter Verbaut, manuelle Pwr-Einstellung;0,0;0,0;-25,0;-13,98
1622896901000000000;20210605_1622896857;Eachine_TX805;5845;25,0;13,98;VTX im Copter Verbaut, manuelle Pwr-Einstellung;0,0;0,0;-25,0;-13,98
1622896901000000000;20210605_1622896857;Eachine_TX805;5845;25,0;13,98;VTX im Copter Verbaut, manuelle Pwr-Einstellung;0,0;0,0;-25,0;-13,98
1622896901000000000;20210605_1622896857;Eachine_TX805;5845;25,0;13,98;VTX im Copter Verbaut, manuelle Pwr-Einstellung;0,0;0,0;-25,0;-13,98
1622896901000000000;20210605_1622896857;Eachine_TX805;5845;25,0;13,98;VTX im Copter Verbaut, manuelle Pwr-Einstellung;0,0;0,0;-25,0;-13,98
1622896902000000000;20210605_1622896857;Eachine_TX805;5845;25,0;13,98;VTX im Copter Verbaut, manuelle Pwr-Einstellung;0,0;0,0;-25,0;-13,98
1622896902000000000;20210605_1622896857;Eachine_TX805;5845;25,0;13,98;VTX im Copter Verbaut, manuelle Pwr-Einstellung;0,0;0,0;-25,0;-13,98
1622896902000000000;20210605_1622896857;Eachine_TX805;5845;25,0;13,98;VTX im Copter Verbaut, manuelle Pwr-Einstellung;0,0;0,0;-25,0;-13,98
1622896903000000000;20210605_1622896857;Eachine_TX805;5845;25,0;13,98;VTX im Copter Verbaut, manuelle Pwr-Einstellung;0,0;0,0;-25,0;-13,98
1622896903000000000;20210605_1622896857;Eachine_TX805;5845;25,0;13,98;VTX im Copter Verbaut, manuelle Pwr-Einstellung;0,0;0,0;-25,0;-13,98
